Original Code,Country Code,Country Name
ar-AE,AE,United Arab Emirates
ar-BH,BH,Bahrain
ar-EG,EG,Egypt
ar-JO,JO,Jordan
ar-PS,PS,"Palestine, State of"
ar-SA,SA,Saudi Arabia
az-AZ,AZ,Azerbaijan
bg-BG,BG,Bulgaria
bn-BD,BD,Bangladesh
bs-BA,BA,Bosnia and Herzegovina
cs-CZ,CZ,Czechia
da-DK,DK,Denmark
de-AT,AT,Austria
de-CH,CH,Switzerland
de-DE,DE,Germany
el-GR,GR,Greece
el-CY,CY,Cyprus
en-AU,AU,Australia
en-CA,CA,Canada
en-GB,GB,United Kingdom
en-IE,IE,Ireland
en-IN,IN,India
en-NZ,NZ,New Zealand
en-PH,PH,Philippines
en-US,US,United States
es-AR,AR,Argentina
es-CL,CL,Chile
es-CO,CO,Colombia
es-ES,ES,Spain
es-MX,MX,Mexico
et-EE,EE,Estonia
fa-IR,IR,"Iran, Islamic Republic of"
fi-FI,FI,Finland
fil-PH,PH,Philippines
fr-CA,CA,Canada
fr-CH,CH,Switzerland
fr-FR,FR,France
ga-IE,IE,Ireland
he-IL,IL,Israel
hi-IN,IN,India
hr-HR,HR,Croatia
hu-HU,HU,Hungary
hy-AM,AM,Armenia
id-ID,ID,Indonesia
it-CH,CH,Switzerland
it-IT,IT,Italy
iw-IL,IL,Israel
ja-JP,JP,Japan
ka-GE,GE,Georgia
ko-KR,KR,"Korea, Republic of"
lb-LU,LU,Luxembourg
lt-LT,LT,Lithuania
lv-LV,LV,Latvia
mt-MT,MT,Malta
ne-NP,NP,Nepal
nl-BE,BE,Belgium
nl-NL,NL,Netherlands
or-IN,IN,India
pl-PL,PL,Poland
pt-BR,BR,Brazil
pt-PT,PT,Portugal
ro-RO,RO,Romania
ru-RU,RU,Russian Federation
sk-SK,SK,Slovakia
sl-SI,SI,Slovenia
sq-AL,AL,Albania
sv-SE,SE,Sweden
ta-IN,IN,India
th-TH,TH,Thailand
tl-PH,PH,Philippines
tr-TR,TR,Turkey
uk-UA,UA,Ukraine
vi-VN,VN,Viet Nam
zh-CN,CN,China
zh-TW,TW,"Taiwan, Province of China"
